z,p
150.,0.00019530316814054518
300.,0.0001893066740582036
450.,0.00018350004406241148
600.,0.00017787708486000377
750.,0.00017243181109650644
900.,0.00016715843817639205
1050.,0.00016205137533808532
1200.,0.00015710521897441577
1350.,0.00015231474618959302
1500.,0.00014767490858410076
1650.,0.000143180826259241
1800.,0.0001388277820333435
1950.,0.00013461121586198213
2100.,0.00013052671945480178
2250.,0.000126570031081836
2400.,0.0001227370305624889
2550.,0.00011902373443055802
2700.,0.0001154262912689656
2850.,0.00011194097720807882
3000.,0.00010856419158172451
3150.,0.00010529245273522832
3300.,0.00010212239398002126
3450.,0.00009905075968954013
3600.,0.0000960744015313695
3750.,0.00009319027483072662
3900.,0.00009039543506060637
4050.,0.00008768703445403978
4200.,0.00008506231873411451
4350.,0.00008251862395755122
4500.,0.0000800533734677854
4650.,0.00007766407495365698
4800.,0.00007534831760994091
4950.,0.00007310376939611473
5100.,0.00007092817438985185
5250.,0.00006881935023189898
5400.,0.00006677518565908466
5550.,0.00006479363812234407
5700.,0.00006287273148675012
5850.,0.00006101055381065057
6000.,0.000059205255201120164
6150.,0.00005745504574303296
6300.,0.000055758193499160444
6450.,0.000054113022578794264
6600.,0.00005251791127248356
6750.,0.00005097129025056007
6900.,0.00004947164082321719
7050.,0.00004801749325997499
7200.,0.00004660742516645776
7350.,0.000045240059916471545
7500.,0.0000439140651374524
7650.,0.000042628151247413484
7800.,0.00004138107004159864
7950.,0.0000401716133271074
8100.,0.000038998611603814876
8250.,0.00003786093278998216
8400.,0.00003675748099099631
8550.,0.00003568719530974473
8700.,0.000034649048697176465
8850.,0.000033642046841657466
9000.,0.00003266522709577524
9150.,0.00003171765743929635
9300.,0.00003079843547702471
9450.,0.00002990668747035731
9600.,0.000029041567401372847
9750.,0.00002820225606832873
9900.,0.000027387960211488382
10050.,0.00002659791166823053
10200.,0.000025831366556436812
10350.,0.00002508760448518248
10500.,0.000024365927791795524
10650.,0.000023665660804378238
10800.,0.00002298614912891953
10950.,0.00002232675896015467
11100.,0.000021686876415362025
11250.,0.000021065906890311863
11400.,0.000020463274436609885
11550.,0.000019878421159708255
11700.,0.000019310806636877447
11850.,0.000018759907354459706
12000.,0.000018225216163749758
12150.,0.00001770624175486737
12300.,0.00001720250814801252
12450.,0.000016713554201513044
12600.,0.000016238933136095364
12750.,0.000015778212074828534
12900.,0.000015330971598213116
13050.,0.00001489680531390093
13200.,0.000014475319440552573
13350.,0.000014066132405355477
13500.,0.000013668874454743157
13650.,0.000013283187277868392
13800.,0.00001290872364240431
13950.,0.000012545147042257
14100.,0.000012192131356790208
14250.,0.000011849360521175482
14400.,0.000011516528207495807
